count,poem,ous_v,ous_c,ous,as_v,as_c,as,end,followed,poem6,poem1,poem2,poem3,poem4,poem5
12,Theogony,1,0,0,0,0,0,1,1,0,1,0,0,0,0
39,Theogony,0,1,0,0,0,0,1,2,0,1,0,0,0,0
14,Theogony,0,0,1,0,0,0,1,0,0,1,0,0,0,0
7,Theogony,0,0,0,1,0,0,0,1,0,1,0,0,0,0
35,Theogony,0,0,0,0,1,0,0,2,0,1,0,0,0,0
12,Theogony,0,0,0,0,0,1,0,0,0,1,0,0,0,0
6,works and days,1,0,0,0,0,0,1,1,0,0,1,0,0,0
27,works and days,0,1,0,0,0,0,1,2,0,0,1,0,0,0
5,works and days,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2,works and days,0,0,0,1,0,0,0,1,0,0,1,0,0,0
15,works and days,0,0,0,0,1,0,0,2,0,0,1,0,0,0
11,works and days,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4,Hymn to Apollo,1,0,0,0,0,0,1,1,0,0,0,1,0,0
14,Hymn to Apollo,0,1,0,0,0,0,1,2,0,0,0,1,0,0
6,Hymn to Apollo,0,0,1,0,0,0,1,0,0,0,0,1,0,0
4,Hymn to Apollo,0,0,0,1,0,0,0,1,0,0,0,1,0,0
6,Hymn to Apollo,0,0,0,0,1,0,0,2,0,0,0,1,0,0
10,Hymn to Apollo,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2,hymn to demeter,1,0,0,0,0,0,1,1,0,0,0,0,1,0
3,hymn to demeter,0,1,0,0,0,0,1,2,0,0,0,0,1,0
2,hymn to demeter,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2,hymn to demeter,0,0,0,1,0,0,0,1,0,0,0,0,1,0
16,hymn to demeter,0,0,0,0,1,0,0,2,0,0,0,0,1,0
4,hymn to demeter,0,0,0,0,0,1,0,0,0,0,0,0,1,0
11,hymn to Hermes,1,0,0,0,0,0,1,1,0,0,0,0,0,1
18,hymn to Hermes,0,1,0,0,0,0,1,2,0,0,0,0,0,1
11,hymn to Hermes,0,0,1,0,0,0,1,0,0,0,0,0,0,1
5,hymn to Hermes,0,0,0,1,0,0,0,1,0,0,0,0,0,1
18,hymn to Hermes,0,0,0,0,1,0,0,2,0,0,0,0,0,1
4,hymn to Hermes,0,0,0,0,0,1,0,0,0,0,0,0,0,1
8,Hymn to Aphrod,1,0,0,0,0,0,1,1,1,0,0,0,0,0
6,Hymn to Aphrod,0,1,0,0,0,0,1,2,1,0,0,0,0,0
4,Hymn to Aphrod,0,0,1,0,0,0,1,0,1,0,0,0,0,0
6,Hymn to Aphrod,0,0,0,1,0,0,0,1,1,0,0,0,0,0
9,Hymn to Aphrod,0,0,0,0,1,0,0,2,1,0,0,0,0,0
2,Hymn to Aphrod,0,0,0,0,0,1,0,0,1,0,0,0,0,0